Lat,Lon,SiteID,Species,CollectionFormat,Date,Year,Month,Trait_Height,Trait_growthForm,EnvVariable_ph,EnvVariable_EC,Citation,Metadata
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2,Senna artemisioides subsp. petiolaris,Individuals,23/11/12,2012,11,200,Scrub,9.1,0.28,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2,Senna artemisioides subsp. petiolaris,Individuals,23/11/12,2012,11,180,Scrub,9,0.06,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2,Senna artemisioides subsp. petiolaris,Individuals,6/01/78,1978,1,28,Scrub,8.8,0.05,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2,Senna artemisioides subsp. petiolaris,Individuals,6/01/78,1978,1,62,Scrub,9,2.54,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2,Senna artemisioides subsp. petiolaris,Individuals,6/01/78,1978,1,50,Scrub,9.3,1.34,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2,Senna artemisioides subsp. petiolaris,Individuals,6/01/78,1978,1,88,Scrub,9.4,0.39,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2,Senna artemisioides subsp. petiolaris,Individuals,6/01/78,1978,1,35,Scrub,8.3,0.06,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2,Senna artemisioides subsp. petiolaris,Individuals,6/01/78,1978,1,32,Scrub,8.3,0.17,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2,Acacia aneura,Individuals,6/01/78,1978,1,157,Tree,8.9,0.07,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/QFR2
-32.10841,139.35191,aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/Q100,Acacia aneura,Individuals,6/01/78,1978,1,182,Tree,9.6,0.75,"Koonamore Research Group (2015). Kangaroo Transects, Koonamore Vegetation Monitoring Project (1925-present), Version 12 /2014. Persistent Hyperlink: http://www.aekos.org.au/collection/adelaide.edu.au/Koonamore/KangarooTransects. AEKOS Data Portal, rights owned by The University of Adelaide (www.adelaide.edu.au). Accessed [importDate].",http://aekos.org.au/collection/adelaide.edu.au/Koonamore/VegetationQuadrats/Q100
